date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,0052,139747,10235681,72.3,73.45,72.3,73.3,1.1,49
2020-01-03,0052,147504,10795141,74.0,74.45,72.65,72.85,-0.45,70
2020-01-06,0052,138657,10000429,72.0,72.25,72.0,72.05,-0.8,66
2020-01-07,0052,180844,13227546,72.1,79.25,71.0,71.8,-0.25,85
2020-01-08,0052,183437,13059326,71.0,71.85,70.8,71.25,-0.55,52
2020-01-09,0052,127110,9216645,72.2,72.7,72.0,72.45,1.2,36
2020-01-10,0052,121416,8827578,73.0,73.0,72.5,72.5,0.05,40
2020-01-13,0052,127269,9327381,73.15,73.35,72.9,73.3,0.8,42
2020-01-14,0052,128945,9538027,74.0,74.15,73.95,73.95,0.65,47
2020-01-15,0052,146217,10715301,73.8,73.85,73.0,73.0,-0.95,48
2020-01-16,0052,126254,9169500,73.1,73.1,72.1,72.6,-0.4,39
2020-01-17,0052,116555,8435999,72.8,72.85,72.15,72.3,-0.3,42
2020-01-20,0052,115444,8380187,72.55,72.7,72.45,72.5,0.2,33
2020-01-30,0052,251218,17461380,71.45,71.45,68.9,68.95,-3.55,133
2020-01-31,0052,181638,12724880,68.95,70.2,68.95,69.7,0.75,67
2020-02-03,0052,139215,9512298,68.45,68.8,67.8,68.4,-1.3,79
2020-02-04,0052,129692,9097362,68.55,70.4,68.55,70.25,1.85,32
2020-02-05,0052,138287,9767209,70.25,70.85,70.2,70.6,0.35,46
2020-02-06,0052,161568,11539744,71.3,71.8,71.15,71.65,1.05,44
2020-02-07,0052,122289,8720915,71.65,71.65,70.85,70.9,-0.75,36
2020-02-10,0052,164578,11693114,69.9,71.55,69.45,71.55,0.65,112
2020-02-11,0052,54492,3944191,72.15,72.6,72.1,72.6,1.05,35
2020-02-12,0052,53076,3869280,73.0,73.25,72.8,72.8,0.2,44
2020-02-13,0052,174890,12779944,73.3,73.4,72.5,72.5,-0.3,61
2020-02-14,0052,149423,10826174,72.5,72.5,72.3,72.3,-0.2,38
2020-02-17,0052,182588,13126171,72.3,72.3,71.5,72.1,-0.2,68
2020-02-18,0052,200387,14243592,72.05,72.05,70.6,70.6,-1.5,89
2020-02-19,0052,132150,9371562,70.0,71.15,70.0,70.7,0.1,38
2020-02-20,0052,112300,7937102,71.35,71.35,70.6,70.85,0.15,21
2020-02-21,0052,121351,8587048,71.0,71.0,70.4,70.75,-0.1,30
2020-02-24,0052,76994,5367830,69.75,69.85,69.65,69.75,-1.0,63
2020-02-25,0052,147223,10209952,69.0,69.7,68.9,69.35,-0.4,47
2020-02-26,0052,189597,13055261,68.7,69.1,68.55,68.6,-0.75,60
2020-02-27,0052,169593,11513374,68.6,68.6,67.45,67.9,-0.7,68
2020-03-02,0052,179121,11997207,66.25,67.5,66.1,66.85,-1.05,76
2020-03-03,0052,252382,17279752,67.5,68.75,67.5,68.45,1.6,72
2020-03-04,0052,116288,7981682,68.25,68.85,68.25,68.7,0.25,26
2020-03-05,0052,151359,10552452,69.65,69.85,69.5,69.8,1.1,37
2020-03-06,0052,238037,16438982,69.45,69.45,68.1,68.1,-1.7,88
2020-03-09,0052,159614,10598295,68.0,68.0,66.0,66.0,-2.1,63
2020-03-10,0052,162555,10659154,65.85,66.5,64.6,66.5,0.5,65
2020-03-11,0052,160287,10546105,66.5,66.55,64.7,64.7,-1.8,57
