date,eps
2020-03-31,0.02
2020-06-30,0.48
2020-09-30,0.67
2020-12-31,0.59
2021-03-31,0.04
2021-06-30,0.25
2021-09-30,0.18
2021-12-31,0.65
2022-03-31,-0.03
2022-06-30,0.89
2022-09-30,0.52
2022-12-31,1.83
2023-03-31,0.79
2023-06-30,2.08
2023-09-30,2.73
2023-12-31,4.27
2024-03-31,2.29
2024-06-30,3.11
2024-09-30,4.28
2024-12-31,5.45
2025-03-31,3.0
2025-06-30,2.5
2025-09-30,3.45
2025-12-31,5.31
