date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,3017,33814248,1464297553,43.0,44.4,42.5,42.75,1.1,16012
2020-01-03,3017,12268841,513932075,42.8,42.9,41.1,41.25,-1.5,6303
2020-01-06,3017,7974964,320007890,40.8,40.8,39.8,39.9,-1.35,4350
2020-01-07,3017,5807584,230647660,40.2,40.4,39.25,39.65,-0.25,3130
2020-01-08,3017,7013817,278546270,39.85,40.2,39.2,39.2,-0.45,3934
2020-01-09,3017,3041512,120600272,39.75,39.95,39.4,39.4,0.2,1708
2020-01-10,3017,3746503,147119890,39.6,39.75,39.1,39.15,-0.25,2060
2020-01-13,3017,2961767,117440535,39.5,39.85,39.3,39.7,0.55,1772
2020-01-14,3017,2808833,112559083,39.95,40.2,39.9,40.1,0.4,1655
2020-01-15,3017,2252122,89956777,40.1,40.1,39.75,40.0,-0.1,1315
2020-01-16,3017,2523229,101040959,40.1,40.2,39.95,40.0,0.0,1168
2020-01-17,3017,2706515,107932700,40.2,40.25,39.75,39.75,-0.25,1306
2020-01-20,3017,1942364,77520010,39.8,40.0,39.8,40.0,0.25,952
2020-01-30,3017,7043824,254391264,36.0,36.8,36.0,36.0,-4.0,3384
2020-01-31,3017,8460873,290723904,34.7,35.9,33.1,34.15,-1.85,4564
2020-02-03,3017,9660454,304637810,31.85,32.6,30.75,32.45,-1.7,4154
2020-02-04,3017,6840450,229741124,33.7,34.1,33.0,34.0,1.55,3953
2020-02-05,3017,6365775,212979550,34.0,34.0,32.95,33.75,-0.25,3347
2020-02-06,3017,7430400,251707817,33.75,34.45,33.5,34.0,0.25,3917
2020-02-07,3017,5749500,191596173,33.7,33.7,33.0,33.05,-0.95,2889
2020-02-10,3017,3803174,124539677,31.8,33.45,31.8,33.2,0.15,2247
2020-02-11,3017,3352680,112230643,33.55,33.65,33.25,33.55,0.35,1744
2020-02-12,3017,6618613,222774052,33.55,34.2,33.1,33.8,0.25,3641
2020-02-13,3017,18051444,641330157,34.55,36.25,34.55,35.0,1.2,9716
2020-02-14,3017,5214943,182395805,35.0,35.3,34.7,34.95,-0.05,3034
2020-02-17,3017,4165974,144477687,34.5,35.2,34.3,34.55,-0.4,2295
2020-02-18,3017,3738643,129976244,34.6,35.05,34.45,34.8,0.25,2164
2020-02-19,3017,3527146,122944276,35.1,35.2,34.6,34.75,-0.05,2045
2020-02-20,3017,4546601,157732907,35.1,35.1,34.45,34.45,-0.3,2784
2020-02-21,3017,7392368,250078812,34.1,34.5,33.55,33.8,-0.65,4349
2020-02-24,3017,6122864,201479859,32.8,33.25,32.6,33.0,-0.8,3415
2020-02-25,3017,6100701,201502506,32.5,33.6,32.15,33.6,0.6,3057
2020-02-26,3017,21787558,758210380,33.2,35.8,33.1,34.8,1.2,11831
2020-02-27,3017,12305906,417413887,35.1,35.35,32.85,33.0,-1.8,6937
2020-03-02,3017,5669407,184877331,32.5,33.3,31.7,32.55,-0.45,3156
2020-03-03,3017,4867402,161827682,33.6,33.6,32.95,33.0,0.45,2384
2020-03-04,3017,4031111,132313734,32.85,33.0,32.55,32.95,-0.05,1960
2020-03-05,3017,9777641,332336539,33.45,34.3,33.45,34.1,1.15,5146
2020-03-06,3017,8244445,281928975,33.7,34.6,33.6,34.45,0.35,3812
2020-03-09,3017,11684603,393285531,34.2,34.75,32.4,32.45,-2.0,5802
2020-03-10,3017,17058868,581386948,32.35,35.15,32.1,35.15,2.7,8890
2020-03-11,3017,32146906,1144800810,36.0,36.6,34.15,34.5,-0.65,15591
2020-03-12,3017,15916695,524718575,33.95,34.05,32.05,32.2,-2.3,8139
2020-03-13,3017,17029267,500549021,29.3,30.5,29.0,30.2,-2.0,7292
2020-03-16,3017,10961444,329864423,30.4,31.25,28.6,28.75,-1.45,5655
2020-03-17,3017,14361857,394957532,26.8,28.85,26.8,27.0,-1.75,6472
2020-03-18,3017,12997586,364781555,28.0,29.2,27.5,27.5,0.5,6658
2020-03-19,3017,20148002,536557094,27.05,28.6,24.9,25.85,-1.65,10286
2020-03-20,3017,8948323,250434973,27.5,28.4,27.3,28.4,2.55,4614
2020-03-23,3017,9083556,257306900,27.4,28.95,27.1,28.55,0.15,5607
2020-03-24,3017,13255436,391247530,29.05,30.15,29.0,29.1,0.55,6838
2020-03-25,3017,11605544,346652421,29.9,30.4,29.15,29.55,0.45,5931
2020-03-26,3017,7672314,226498246,29.6,30.1,28.85,30.1,0.55,4112
2020-03-27,3017,8957655,267594424,30.75,30.8,29.0,29.0,-1.1,5004
2020-03-30,3017,5624778,164945395,28.3,29.95,28.2,29.95,0.95,3204
2020-03-31,3017,5476136,164677818,30.35,30.6,29.7,30.15,0.2,2993
2020-04-01,3017,4216100,127133388,30.25,30.45,29.85,30.25,0.1,2301
2020-04-06,3017,8588902,264812105,30.55,31.3,30.4,31.3,1.05,4601
2020-04-07,3017,13415951,440428484,32.85,33.2,32.3,32.8,1.5,6995
2020-04-08,3017,8154015,263504133,32.4,32.65,32.0,32.5,-0.3,4625
2020-04-09,3017,5906641,189538147,32.8,32.8,31.7,31.75,-0.75,3503
2020-04-10,3017,4370456,140264827,31.8,32.4,31.7,32.15,0.4,2549
2020-04-13,3017,3899498,125963605,32.15,32.7,31.8,32.1,-0.05,2157
2020-04-14,3017,4309361,140221400,32.55,32.75,32.15,32.6,0.5,2381
2020-04-15,3017,12879163,431796286,33.0,34.3,32.7,33.75,1.15,6218
2020-04-16,3017,30006749,1061226983,33.9,36.5,33.9,35.1,1.35,14146
2020-04-17,3017,15525187,557538383,36.65,36.7,35.2,35.25,0.15,7771
2020-04-20,3017,19199011,704587006,35.9,37.5,35.3,37.5,2.25,10642
2020-04-21,3017,17966168,657535759,37.4,37.8,35.4,35.7,-1.8,10085
2020-04-22,3017,13694855,494817359,35.0,37.15,34.2,36.95,1.25,7752
2020-04-23,3017,13508883,498955202,37.6,37.8,36.3,36.6,-0.35,7250
2020-04-24,3017,14272781,532066713,36.85,37.75,36.4,37.3,0.7,8168
2020-04-27,3017,18345499,706214019,38.35,39.1,38.05,38.65,1.35,9851
2020-04-28,3017,32110445,1284794027,39.45,40.8,39.0,39.75,1.1,17204
2020-04-29,3017,15680423,632692705,40.5,40.85,39.9,40.3,0.55,8283
2020-04-30,3017,16963524,690533960,40.95,41.4,40.05,40.8,0.5,9028
2020-05-04,3017,20887395,865951877,40.05,42.2,39.75,41.8,1.0,11162
2020-05-05,3017,19930562,844931504,42.4,43.2,41.5,42.0,0.2,9989
2020-05-06,3017,11075393,461233103,42.2,42.25,41.1,41.5,-0.5,6265
2020-05-07,3017,8816723,367988762,41.95,42.3,41.35,41.95,0.45,4310
2020-05-08,3017,23254423,962757901,42.8,42.9,40.65,40.7,-1.25,11780
