date,stock_id,country,revenue,revenue_month,revenue_year,yoy,mom
2020-01-01,3231,Taiwan,86134836000,12,2019,,
2020-02-01,3231,Taiwan,60489120000,1,2020,,-29.773918650056984
2020-03-01,3231,Taiwan,44862598000,2,2020,,-25.833607762850576
2020-04-01,3231,Taiwan,68332849000,3,2020,,52.3158533975228
2020-05-01,3231,Taiwan,66875475000,4,2020,,-2.1327575555938005
2020-06-01,3231,Taiwan,75316883000,5,2020,,12.622576512540661
2020-07-01,3231,Taiwan,79001974000,6,2020,,4.892782140227436
2020-08-01,3231,Taiwan,78466276000,7,2020,,-0.6780817907157566
2020-09-01,3231,Taiwan,70012025000,8,2020,,-10.774375223312493
2020-10-01,3231,Taiwan,69115242000,9,2020,,-1.2808985313594312
2020-11-01,3231,Taiwan,72192665000,10,2020,,4.452596722442204
2020-12-01,3231,Taiwan,86817870000,11,2020,,20.258574745786163
2021-01-01,3231,Taiwan,73527923000,12,2020,-14.636253559477375,-15.307847336038073
2021-02-01,3231,Taiwan,58569401000,1,2021,-3.1736599904247265,-20.344001829073832
2021-03-01,3231,Taiwan,49477754000,2,2021,10.28731327597212,-15.522861502373908
2021-04-01,3231,Taiwan,69092011000,3,2021,1.1109766548735633,39.642577551115195
2021-05-01,3231,Taiwan,68220509000,4,2021,2.011251508867784,-1.2613643565824173
2021-06-01,3231,Taiwan,60974386000,5,2021,-19.042871171394605,-10.621619665722514
2021-07-01,3231,Taiwan,71903891000,6,2021,-8.984690686336517,17.9247479425213
2021-08-01,3231,Taiwan,67521122000,7,2021,-13.948863840562542,-6.095315481605857
2021-09-01,3231,Taiwan,70278501000,8,2021,0.38061461584635303,4.083728051793933
2021-10-01,3231,Taiwan,82592571000,9,2021,19.49979282428036,17.521816522523714
2021-11-01,3231,Taiwan,80238095000,10,2021,11.14438703710412,-2.8507115972936647
2021-12-01,3231,Taiwan,86203518000,11,2021,-0.707633117467632,7.4346518321503074
2022-01-01,3231,Taiwan,96078329000,12,2021,30.669173124882086,11.455229704198388
2022-02-01,3231,Taiwan,66957794000,1,2022,14.322142376016455,-30.309160560025973
2022-03-01,3231,Taiwan,64629461000,2,2022,30.623271622232483,-3.477314381056218
2022-04-01,3231,Taiwan,94858526000,3,2022,37.29304535657532,46.77288736788321
2022-05-01,3231,Taiwan,68352110000,4,2022,0.19290533291096423,-27.943103395892955
2022-06-01,3231,Taiwan,74337356000,5,2022,21.915710639546248,8.75649047264233
2022-07-01,3231,Taiwan,101526536000,6,2022,41.197554941776374,36.57539286169931
2022-08-01,3231,Taiwan,79684558000,7,2022,18.014268187071902,-21.513565675086166
2022-09-01,3231,Taiwan,76876839000,8,2022,9.388842826912324,-3.5235421648445397
2022-10-01,3231,Taiwan,93541711000,9,2022,13.256809743820664,21.677363711585485
2022-11-01,3231,Taiwan,78600200000,10,2022,-2.041293477867334,-15.973099957515213
2022-12-01,3231,Taiwan,88603854000,11,2022,2.7844988878528154,12.727262780501825
2023-01-01,3231,Taiwan,96428739000,12,2022,0.3647128375848352,8.831314493385346
2023-02-01,3231,Taiwan,54967408000,1,2023,-17.907379087190357,-42.996861132862065
2023-03-01,3231,Taiwan,62066820000,2,2023,-3.9651282253460263,12.915675412600859
2023-04-01,3231,Taiwan,94965979000,3,2023,0.11327711332980162,53.00603285298007
2023-05-01,3231,Taiwan,62125793000,4,2023,-9.109180389603189,-34.58100084452349
2023-06-01,3231,Taiwan,63328331000,5,2023,-14.809546091469816,1.935650141318912
2023-07-01,3231,Taiwan,81098600000,6,2023,-20.12078497389096,28.060535812952338
2023-08-01,3231,Taiwan,67719669000,7,2023,-15.015317020394336,-16.497117089567514
2023-09-01,3231,Taiwan,72891238000,8,2023,-5.184397605109647,7.636731065534308
2023-10-01,3231,Taiwan,77882364000,9,2023,-16.740496653947247,6.847360721188456
2023-11-01,3231,Taiwan,78402929000,10,2023,-0.2509802774038783,0.6683990742756496
2023-12-01,3231,Taiwan,76435409000,11,2023,-13.733539175395236,-2.5094980826545377
2024-01-01,3231,Taiwan,74698087000,12,2023,-22.53545180135561,-2.272928244552208
2024-02-01,3231,Taiwan,67299575000,1,2024,22.43541663816493,-9.904553512863057
2024-03-01,3231,Taiwan,81097431000,2,2024,30.66148869879268,20.502144330034767
2024-04-01,3231,Taiwan,89831083000,3,2024,-5.407090048532015,10.769332508202378
2024-05-01,3231,Taiwan,72642799000,4,2024,16.92856620759755,-19.13400509709985
2024-06-01,3231,Taiwan,79501289000,5,2024,25.538266593509306,9.441390054367261
2024-07-01,3231,Taiwan,88787165000,6,2024,9.480515076709084,11.680157789642887
2024-08-01,3231,Taiwan,86190479000,7,2024,27.275399116318777,-2.924618665321732
2024-09-01,3231,Taiwan,89820629000,8,2024,23.22555009972529,4.211776105803988
