date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,1519,684056,19909367,29.1,29.3,29.0,29.0,-0.1,296
2020-01-03,1519,1104450,31409466,29.2,29.2,28.2,28.3,-0.7,549
2020-01-06,1519,509121,14424871,28.3,28.75,27.95,28.25,-0.05,296
2020-01-07,1519,411330,11543390,28.15,28.25,27.85,28.05,-0.2,223
2020-01-08,1519,577500,15952900,28.05,28.05,27.25,27.6,-0.45,365
2020-01-09,1519,414700,11595010,27.65,28.3,27.6,28.3,0.7,212
2020-01-10,1519,1543350,44980110,29.8,29.8,28.75,28.75,0.45,806
2020-01-13,1519,1248400,36489149,29.55,29.65,28.8,28.8,0.05,651
2020-01-14,1519,421400,12151970,29.0,29.0,28.75,28.85,0.05,228
2020-01-15,1519,640054,18297330,28.85,29.1,28.2,28.35,-0.5,325
2020-01-16,1519,655550,18700125,28.5,28.75,28.25,28.7,0.35,324
2020-01-17,1519,2165837,64022889,29.0,30.0,29.0,29.3,0.6,1196
2020-01-20,1519,3363657,101414884,29.8,30.8,29.3,30.35,1.05,1787
2020-01-30,1519,2414990,70099661,28.65,29.8,28.2,29.0,-1.35,1154
2020-01-31,1519,1777750,52693036,29.3,30.1,28.9,30.0,1.0,959
2020-02-03,1519,1318563,38344587,29.2,29.65,28.7,29.2,-0.8,736
2020-02-04,1519,2387047,71689457,29.3,30.75,29.15,30.25,1.05,1273
2020-02-05,1519,1573827,47261523,30.4,30.45,29.6,30.05,-0.2,867
2020-02-06,1519,8000784,251653993,30.45,32.55,30.45,30.95,0.9,4215
2020-02-07,1519,2367700,73828142,30.8,31.75,30.25,31.35,0.4,1469
2020-02-10,1519,2603394,82742603,31.25,32.2,30.9,31.9,0.55,1512
2020-02-11,1519,1916000,60387099,31.9,32.1,31.05,31.35,-0.55,1169
2020-02-12,1519,3200510,101780262,31.9,32.5,31.15,31.4,0.05,1801
2020-02-13,1519,1698617,52497770,31.15,31.35,30.6,30.8,-0.6,974
2020-02-14,1519,982225,30518352,30.9,31.35,30.9,31.0,0.2,548
2020-02-17,1519,790700,24347803,30.9,31.3,30.5,30.65,-0.35,477
2020-02-18,1519,637495,19549445,30.65,31.05,30.5,30.55,-0.1,448
2020-02-19,1519,853725,25951940,30.7,30.75,30.25,30.4,-0.15,438
2020-02-20,1519,656249,20059718,30.5,30.95,30.3,30.4,0.0,400
2020-02-21,1519,1570636,47001102,30.4,30.4,29.5,29.75,-0.65,931
2020-02-24,1519,933080,27550240,29.6,29.9,29.2,29.8,0.05,495
2020-02-25,1519,1056449,31099504,29.35,29.9,29.0,29.75,-0.05,707
2020-02-26,1519,1367792,41387805,29.45,30.7,29.45,30.35,0.6,832
2020-02-27,1519,1587600,47174940,30.7,30.75,29.15,29.15,-1.2,910
2020-03-02,1519,1303984,38186177,28.1,29.95,28.05,29.6,0.45,739
2020-03-03,1519,1017208,30796107,29.95,30.55,29.9,30.0,0.4,572
2020-03-04,1519,1052626,31968159,29.9,30.6,29.85,30.5,0.5,631
2020-03-05,1519,660760,20291018,30.5,30.85,30.5,30.7,0.2,424
2020-03-06,1519,1096977,33841833,30.7,31.3,30.35,31.05,0.35,636
2020-03-09,1519,1706302,52056220,31.05,31.1,30.0,30.35,-0.7,990
2020-03-10,1519,1691507,50366109,29.45,30.25,29.35,30.25,-0.1,871
2020-03-11,1519,1365222,40730220,29.65,30.4,29.35,29.45,-0.8,698
2020-03-12,1519,2413736,67556001,29.4,29.4,27.0,27.55,-1.9,1282
2020-03-13,1519,2252492,56269193,24.8,25.75,24.8,25.4,-2.15,1029
2020-03-16,1519,1718209,42890977,25.6,25.8,24.0,24.2,-1.2,892
2020-03-17,1519,1285242,29706954,22.4,24.0,22.4,22.65,-1.55,638
2020-03-18,1519,1041994,23559411,23.05,23.3,22.05,22.15,-0.5,548
2020-03-19,1519,2058720,41578390,21.5,21.5,19.95,19.95,-2.2,775
2020-03-20,1519,1375100,29141140,20.25,21.65,20.25,21.4,1.45,584
2020-03-23,1519,1727696,33995835,20.35,21.2,19.6,21.2,-0.2,318
2020-03-24,1519,936250,20752724,21.6,22.6,21.2,22.6,1.4,490
2020-03-25,1519,804100,19017765,23.1,23.95,23.1,23.6,1.0,418
2020-03-26,1519,738608,17358492,23.85,24.05,22.85,23.8,0.2,404
2020-03-27,1519,915198,22253270,24.75,24.9,23.95,24.1,0.3,402
2020-03-30,1519,551000,13018150,23.65,24.15,23.15,24.15,0.05,277
2020-03-31,1519,705300,17230050,24.65,24.9,24.15,24.3,0.15,327
2020-04-01,1519,764100,19016338,24.3,25.55,23.8,25.2,0.9,383
2020-04-06,1519,521112,13123849,25.2,25.5,24.75,25.35,0.15,306
2020-04-07,1519,1313445,33924273,25.4,26.3,25.35,26.1,0.75,585
2020-04-08,1519,858300,22941800,26.1,27.1,26.0,27.0,0.9,451
2020-04-09,1519,1008750,27252125,27.05,27.4,26.65,27.2,0.2,517
2020-04-10,1519,591585,15833921,26.8,27.35,26.45,26.45,-0.75,332
2020-04-13,1519,533485,13858333,26.45,26.45,25.8,25.8,-0.65,319
2020-04-14,1519,621007,16183334,26.0,26.2,25.65,26.15,0.35,293
2020-04-15,1519,532607,13844432,26.25,26.3,25.8,25.95,-0.2,287
2020-04-16,1519,415015,10681389,25.95,25.95,25.6,25.7,-0.25,253
2020-04-17,1519,640080,16491598,26.15,26.2,25.45,25.55,-0.15,330
2020-04-20,1519,616011,15540378,25.55,25.55,25.1,25.15,-0.4,246
2020-04-21,1519,922536,22771046,25.15,25.3,24.25,24.25,-0.9,442
2020-04-22,1519,683001,16480874,23.5,24.5,23.5,24.5,0.25,325
2020-04-23,1519,663100,16205949,24.5,24.7,24.3,24.5,0.0,327
2020-04-24,1519,461750,11214799,24.55,24.55,24.15,24.15,-0.35,227
2020-04-27,1519,933100,23116975,24.65,25.1,24.25,24.75,0.6,393
2020-04-28,1519,824100,20702775,25.25,25.4,24.8,24.85,0.1,379
2020-04-29,1519,802664,20442262,25.0,25.7,25.0,25.55,0.7,399
2020-04-30,1519,1654793,43945622,25.9,27.1,25.75,26.6,1.05,731
2020-05-04,1519,863020,22520071,26.1,26.45,25.7,26.0,-0.6,407
