date,stock_id,country,revenue,revenue_month,revenue_year,yoy,mom
2020-01-01,8064,Taiwan,367677000,12,2019,,
2020-02-01,8064,Taiwan,233367000,1,2020,,-36.52934505013911
2020-03-01,8064,Taiwan,171819000,2,2020,,-26.373908907429065
2020-04-01,8064,Taiwan,198923000,3,2020,,15.774739697006734
2020-05-01,8064,Taiwan,234607000,4,2020,,17.93859935754036
2020-06-01,8064,Taiwan,352608000,5,2020,,50.29730570699085
2020-07-01,8064,Taiwan,476477000,6,2020,,35.12937880025411
2020-08-01,8064,Taiwan,247955000,7,2020,,-47.96076200949888
2020-09-01,8064,Taiwan,259115000,8,2020,,4.50081668044604
2020-10-01,8064,Taiwan,355346000,9,2020,,37.13833625996179
2020-11-01,8064,Taiwan,391696000,10,2020,,10.229466491813621
2020-12-01,8064,Taiwan,443477000,11,2020,,13.219690780605365
2021-01-01,8064,Taiwan,441490000,12,2020,20.0755010511944,-0.44805029347632086
2021-02-01,8064,Taiwan,273835000,1,2021,17.340926523458755,-37.97481256653605
2021-03-01,8064,Taiwan,234299000,2,2021,36.36384800284021,-14.437891430971206
2021-04-01,8064,Taiwan,347817000,3,2021,74.85006761410193,48.45005740528128
2021-05-01,8064,Taiwan,454402000,4,2021,93.68646289326405,30.643988074188442
2021-06-01,8064,Taiwan,392189000,5,2021,11.225213267991641,-13.691180936703628
2021-07-01,8064,Taiwan,543441000,6,2021,14.053983717996887,38.566099508145314
2021-08-01,8064,Taiwan,421166000,7,2021,69.85582061261115,-22.500142609777328
2021-09-01,8064,Taiwan,332467000,8,2021,28.30866603631592,-21.06034200291571
2021-10-01,8064,Taiwan,281973000,9,2021,-20.648325857051997,-15.187672761507153
2021-11-01,8064,Taiwan,274316000,10,2021,-29.96711735631714,-2.7155082224184612
2021-12-01,8064,Taiwan,389556000,11,2021,-12.158691431573676,42.009944735268824
2022-01-01,8064,Taiwan,586074000,12,2021,32.74909963985595,50.44666235406463
2022-02-01,8064,Taiwan,291018000,1,2022,6.274946591925801,-50.34449574627096
2022-03-01,8064,Taiwan,173820000,2,2022,-25.812743545640405,-40.271735768921516
2022-04-01,8064,Taiwan,317363000,3,2022,-8.755753744066563,82.58140605223794
2022-05-01,8064,Taiwan,301452000,4,2022,-33.65962297701155,-5.013501889004079
2022-06-01,8064,Taiwan,317018000,5,2022,-19.16703426154227,5.163674482172942
2022-07-01,8064,Taiwan,254662000,6,2022,-53.138979208414526,-19.66954557785362
2022-08-01,8064,Taiwan,229787000,7,2022,-45.44027770522787,-9.767849149068175
2022-09-01,8064,Taiwan,280785000,8,2022,-15.545001458791397,22.193596678663276
2022-10-01,8064,Taiwan,391511000,9,2022,38.846981803222306,39.43444272307994
2022-11-01,8064,Taiwan,395391000,10,2022,44.13705361699645,0.9910321804496025
2022-12-01,8064,Taiwan,495876000,11,2022,27.292610048362743,25.414083780359185
2023-01-01,8064,Taiwan,463208000,12,2022,-20.96424683572382,-6.587937306907376
2023-02-01,8064,Taiwan,274028000,1,2023,-5.8381268512600615,-40.84126353603564
2023-03-01,8064,Taiwan,281522000,2,2023,61.96179956276608,2.73475703212811
2023-04-01,8064,Taiwan,274794000,3,2023,-13.413346861480392,-2.389866511320604
2023-05-01,8064,Taiwan,266349000,4,2023,-11.644639942677436,-3.073211205484838
2023-06-01,8064,Taiwan,242854000,5,2023,-23.39425521579216,-8.821133174894591
2023-07-01,8064,Taiwan,224421000,6,2023,-11.874955823797817,-7.5901570490912285
2023-08-01,8064,Taiwan,285972000,7,2023,24.4509045333287,27.426577726683334
2023-09-01,8064,Taiwan,241724000,8,2023,-13.911355663586022,-15.472843495167353
2023-10-01,8064,Taiwan,207783000,9,2023,-46.927927950938795,-14.041220565603751
2023-11-01,8064,Taiwan,192215000,10,2023,-51.386096294553994,-7.492432008393369
2023-12-01,8064,Taiwan,250483000,11,2023,-49.48676685300357,30.313971334183076
2024-01-01,8064,Taiwan,248305000,12,2023,-46.39449232310323,-0.8695200871915443
2024-02-01,8064,Taiwan,171123000,1,2024,-37.55273183762243,-31.083546444896392
2024-03-01,8064,Taiwan,176904000,2,2024,-37.1615717421729,3.3782717694289977
2024-04-01,8064,Taiwan,230777000,3,2024,-16.018180891868095,30.453240175462405
2024-05-01,8064,Taiwan,168115000,4,2024,-36.8816853076227,-27.15261919515376
2024-06-01,8064,Taiwan,186699000,5,2024,-23.122946296952072,11.054337804479086
2024-07-01,8064,Taiwan,312884000,6,2024,39.41832537953223,67.587400039636
2024-08-01,8064,Taiwan,229147000,7,2024,-19.87082651448393,-26.762953682514922
2024-09-01,8064,Taiwan,261806000,8,2024,8.30782214426371,14.252423117038404
2024-10-01,8064,Taiwan,252554000,9,2024,21.5469985513733,-3.5339144251850585
2024-11-01,8064,Taiwan,203195000,10,2024,5.71235335431679,-19.543939117970808
2024-12-01,8064,Taiwan,212006000,11,2024,-15.361122311693808,4.336228745786075
2025-01-01,8064,Taiwan,198676000,12,2024,-19.987112623587922,-6.2875578993047405
2025-02-01,8064,Taiwan,145520000,1,2025,-14.961752657445226,-26.755118887032147
2025-03-01,8064,Taiwan,175065000,2,2025,-1.0395468728802038,20.303051126992845
2025-04-01,8064,Taiwan,197638000,3,2025,-14.359749888420426,12.894067917630592
2025-05-01,8064,Taiwan,146806000,4,2025,-12.67525205960206,-25.719750250457906
2025-06-01,8064,Taiwan,188646000,5,2025,1.0428550768884604,28.500197539610106
2025-07-01,8064,Taiwan,177209000,6,2025,-43.36271589470858,-6.062678243906571
2025-08-01,8064,Taiwan,242212000,7,2025,5.701580208337886,36.68154551969709
2025-09-01,8064,Taiwan,257873000,8,2025,-1.5022573966983144,6.46582332832395
2025-10-01,8064,Taiwan,259622000,9,2025,2.798609406305186,0.678240839483002
2025-11-01,8064,Taiwan,290651000,10,2025,43.04042914441793,11.951606566469719
2025-12-01,8064,Taiwan,265051000,11,2025,25.020518287218295,-8.807814182645169
2026-01-01,8064,Taiwan,524391000,12,2025,163.94280134490327,97.84532033457711
2026-02-01,8064,Taiwan,196579000,1,2026,35.08727322704783,-62.51289591163845
2026-03-01,8064,Taiwan,225354000,2,2026,28.725901807899934,14.637880953713257
