date,eps
2020-03-31,0.67
2020-06-30,1.62
2020-09-30,2.04
2020-12-31,2.24
2021-03-31,1.84
2021-06-30,2.05
2021-09-30,2.43
2021-12-31,2.41
2022-03-31,1.75
2022-06-30,1.03
2022-09-30,2.4
2022-12-31,2.33
2023-03-31,1.68
2023-06-30,2.63
2023-09-30,3.32
2023-12-31,2.66
2024-03-31,3.13
2024-06-30,3.92
2024-09-30,4.32
2024-12-31,4.12
2025-03-31,5.06
2025-06-30,4.37
2025-09-30,4.26
2025-12-31,5.75
