date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,8064,3074840,54977089,17.75,18.1,17.6,17.9,0.15,1220
2020-01-03,8064,1243500,21967697,17.9,17.9,17.55,17.6,-0.3,520
2020-01-06,8064,748042,12957624,17.5,17.5,17.2,17.2,-0.4,361
2020-01-07,8064,406373,6976264,17.15,17.3,17.1,17.2,0.0,221
2020-01-08,8064,495324,8463240,17.1,17.15,17.05,17.05,-0.15,217
2020-01-09,8064,431007,7379269,17.3,17.3,17.05,17.1,0.05,221
2020-01-10,8064,387472,6602247,17.0,17.1,17.0,17.0,-0.1,198
2020-01-13,8064,302382,5160381,17.0,17.15,17.0,17.1,0.1,142
2020-01-14,8064,471051,8111474,17.1,17.3,17.1,17.2,0.1,283
2020-01-15,8064,207179,3561718,17.25,17.25,17.15,17.15,-0.05,122
2020-01-16,8064,363003,6203251,17.15,17.2,17.05,17.15,0.0,141
2020-01-17,8064,270306,4624846,17.15,17.2,17.05,17.1,-0.05,141
2020-01-20,8064,320201,5463785,17.1,17.1,17.05,17.05,-0.05,175
2020-01-30,8064,1269398,20345416,16.1,16.4,15.75,15.8,-1.25,598
2020-01-31,8064,557041,8791111,15.95,16.05,15.55,15.85,0.05,268
2020-02-03,8064,704007,10683462,15.5,15.5,14.95,15.25,-0.6,339
2020-02-04,8064,310001,4832116,15.25,15.7,15.25,15.65,0.4,161
2020-02-05,8064,223008,3480928,15.7,15.75,15.55,15.6,-0.05,130
2020-02-06,8064,1207076,19419740,15.7,16.45,15.7,16.4,0.8,462
2020-02-07,8064,2116032,34531074,16.3,16.45,16.2,16.25,-0.15,846
2020-02-10,8064,461726,7316684,15.8,16.0,15.7,15.8,-0.45,251
2020-02-11,8064,291022,4605382,15.95,15.95,15.75,15.75,-0.05,192
2020-02-12,8064,334385,5277888,15.85,15.9,15.7,15.8,0.05,171
2020-02-13,8064,251716,3977369,15.8,15.9,15.75,15.75,-0.05,172
2020-02-14,8064,276024,4335762,15.75,15.75,15.65,15.7,-0.05,191
2020-02-17,8064,192756,3006333,15.6,15.7,15.55,15.6,-0.1,180
2020-02-18,8064,439018,6812071,15.6,15.75,15.45,15.5,-0.1,296
2020-02-19,8064,248186,3861744,15.45,15.65,15.45,15.6,0.1,169
2020-02-20,8064,142142,2212690,15.65,15.65,15.5,15.5,-0.1,129
2020-02-21,8064,229009,3535435,15.5,15.55,15.35,15.4,-0.1,148
2020-02-24,8064,291422,4431153,15.4,15.4,15.05,15.2,-0.2,191
2020-02-25,8064,871127,13462624,15.2,15.65,15.1,15.65,0.45,441
2020-02-26,8064,401040,6200264,15.6,15.6,15.4,15.4,-0.25,247
2020-02-27,8064,763056,11497745,15.4,15.4,14.8,15.0,-0.4,383
2020-03-02,8064,1027671,15064415,14.5,15.05,14.35,15.05,0.05,550
2020-03-03,8064,1953219,30316748,15.55,15.7,15.35,15.4,0.35,848
2020-03-04,8064,347278,5320625,15.3,15.4,15.2,15.4,0.0,176
2020-03-05,8064,267696,4136468,15.4,15.5,15.4,15.4,0.0,149
2020-03-06,8064,357557,5458086,15.5,15.5,15.2,15.2,-0.2,194
2020-03-09,8064,526000,7826900,15.05,15.1,14.75,14.75,-0.45,263
2020-03-10,8064,1003000,14423150,14.1,15.2,14.05,15.15,0.4,453
2020-03-11,8064,2850017,43969155,15.4,15.55,15.15,15.3,0.15,1190
2020-03-12,8064,1229187,17954126,15.0,15.05,14.15,14.5,-0.8,563
2020-03-13,8064,1603081,21249472,13.2,13.7,13.05,13.4,-1.1,634
2020-03-16,8064,555792,7298665,13.45,13.65,12.8,12.8,-0.6,322
2020-03-17,8064,1218582,14641918,12.05,12.3,11.8,11.85,-0.95,530
2020-03-18,8064,779261,9332273,11.85,12.25,11.7,11.7,-0.15,350
2020-03-19,8064,1245212,13288651,10.9,11.2,10.55,10.55,-1.15,496
2020-03-20,8064,1275293,14160353,10.7,11.35,10.7,11.35,0.8,579
2020-03-23,8064,751826,8336914,11.0,11.2,10.8,11.05,-0.3,349
2020-03-24,8064,894527,10385297,11.5,11.85,11.35,11.7,0.65,468
2020-03-25,8064,913764,11150577,12.25,12.3,12.05,12.15,0.45,418
2020-03-26,8064,489400,5922614,12.25,12.25,11.85,12.25,0.1,262
2020-03-27,8064,731608,9058261,12.4,12.55,12.25,12.25,0.0,341
2020-03-30,8064,355505,4273032,12.1,12.25,11.7,12.25,0.0,208
2020-03-31,8064,425114,5253232,12.4,12.6,12.2,12.25,0.0,260
2020-04-01,8064,366216,4541422,12.4,12.5,12.3,12.35,0.1,211
2020-04-06,8064,222052,2743947,12.5,12.55,12.2,12.4,0.05,144
2020-04-07,8064,668369,8395264,12.65,12.7,12.45,12.55,0.15,273
2020-04-08,8064,2204490,29562160,12.65,13.8,12.6,13.8,1.25,974
2020-04-09,8064,1699814,23557757,13.8,14.3,13.5,13.6,-0.2,765
2020-04-10,8064,429576,5814575,13.6,13.8,13.4,13.6,0.0,242
2020-04-13,8064,311100,4217302,13.5,13.7,13.4,13.6,0.0,161
2020-04-14,8064,499369,6822651,13.7,13.8,13.5,13.7,0.1,260
2020-04-15,8064,556021,7696478,13.8,13.95,13.75,13.85,0.15,278
2020-04-16,8064,567373,7926562,13.75,14.2,13.75,14.15,0.3,269
2020-04-17,8064,830038,11828133,14.55,14.55,14.0,14.0,-0.15,375
2020-04-20,8064,378012,5249506,14.05,14.05,13.8,13.85,-0.15,191
2020-04-21,8064,455002,6212476,13.8,13.95,13.5,13.5,-0.35,222
2020-04-22,8064,470329,6320874,13.3,13.7,13.15,13.65,0.15,161
2020-04-23,8064,173040,2371395,13.85,13.85,13.6,13.65,0.0,99
2020-04-24,8064,254000,3469800,13.7,13.75,13.6,13.7,0.05,104
2020-04-27,8064,1473003,20872842,13.8,14.4,13.7,14.4,0.7,581
2020-04-28,8064,4483473,66392495,14.55,15.1,14.15,14.95,0.55,1910
2020-04-29,8064,940405,13905073,14.85,14.9,14.7,14.8,-0.15,472
2020-04-30,8064,623338,9261653,14.85,14.95,14.8,14.85,0.05,277
2020-05-04,8064,545257,7899924,14.5,14.6,14.35,14.5,-0.35,237
2020-05-05,8064,344159,5026252,14.65,14.75,14.5,14.55,0.05,168
2020-05-06,8064,430152,6253359,14.55,14.7,14.5,14.5,-0.05,221
2020-05-07,8064,343613,4989181,14.45,14.65,14.4,14.55,0.05,181
2020-05-08,8064,404021,5885805,14.55,14.65,14.5,14.5,-0.05,206
2020-05-11,8064,808267,11727293,14.45,14.6,14.45,14.45,-0.05,285
2020-05-12,8064,457101,6585499,14.45,14.5,14.3,14.35,-0.1,217
2020-05-13,8064,279377,4043821,14.4,14.55,14.35,14.5,0.15,139
2020-05-14,8064,416001,5947064,14.35,14.5,14.1,14.15,-0.35,189
2020-05-15,8064,366655,5185885,14.5,14.5,14.05,14.05,-0.1,186
2020-05-18,8064,276545,3853432,13.8,14.1,13.8,13.95,-0.1,158
2020-05-19,8064,157003,2208742,14.05,14.15,14.05,14.1,0.15,90
2020-05-20,8064,155293,2208145,14.1,14.3,14.1,14.15,0.05,97
2020-05-21,8064,218160,3113337,14.3,14.35,14.25,14.3,0.15,108
2020-05-22,8064,212006,3021335,14.25,14.4,14.15,14.15,-0.15,117
2020-05-25,8064,272002,3857828,14.2,14.45,14.05,14.2,0.05,140
2020-05-26,8064,245447,3494853,14.2,14.35,14.2,14.2,0.0,133
2020-05-27,8064,291001,4163414,14.25,14.4,14.25,14.35,0.15,132
2020-05-28,8064,403493,5797073,14.4,14.45,14.25,14.25,-0.1,181
2020-05-29,8064,283408,4011384,14.25,14.3,14.05,14.1,-0.15,161
2020-06-01,8064,284795,4051957,14.15,14.3,14.15,14.2,0.1,137
2020-06-02,8064,257000,3682000,14.3,14.35,14.25,14.3,0.1,114
2020-06-03,8064,691402,10060466,14.45,14.7,14.4,14.7,0.4,334
2020-06-04,8064,1464301,21864409,14.7,15.2,14.6,15.15,0.45,622
2020-06-05,8064,4737542,73741980,15.45,15.7,15.4,15.65,0.5,1920
2020-06-08,8064,1468770,22725683,15.65,15.75,15.35,15.35,-0.3,599
2020-06-09,8064,430822,6620016,15.35,15.5,15.3,15.35,0.0,198
2020-06-10,8064,609351,9317887,15.4,15.4,15.2,15.2,-0.15,238
2020-06-11,8064,793001,11946314,15.25,15.25,14.9,14.9,-0.3,282
2020-06-12,8064,372977,5411802,14.5,14.7,14.3,14.65,-0.25,179
2020-06-15,8064,233005,3430175,14.95,14.95,14.5,14.7,0.05,121
2020-06-16,8064,401465,5957597,14.7,14.95,14.7,14.8,0.1,159
2020-06-17,8064,209200,3108050,14.9,14.95,14.8,14.85,0.05,118
2020-06-18,8064,582000,8842750,15.0,15.35,15.0,15.2,0.35,275
2020-06-19,8064,1038331,16022911,15.4,15.5,15.35,15.45,0.25,376
2020-06-22,8064,313450,4815101,15.45,15.5,15.25,15.3,-0.15,169
2020-06-23,8064,240700,3662557,15.3,15.35,15.1,15.3,0.0,136
2020-06-24,8064,333041,5104276,15.3,15.4,15.25,15.35,0.05,153
2020-06-29,8064,304082,4629187,15.35,15.35,15.15,15.2,-0.15,118
2020-06-30,8064,415152,6371990,15.3,15.4,15.25,15.4,0.2,172
2020-07-01,8064,681139,10581853,15.5,15.6,15.45,15.5,0.1,312
2020-07-02,8064,1617483,25453000,15.6,15.95,15.6,15.9,0.4,526
2020-07-03,8064,5110738,84540400,16.25,16.9,16.25,16.35,0.45,2005
2020-07-06,8064,2516005,41337624,16.55,16.55,16.35,16.35,0.0,968
2020-07-07,8064,1494300,22928029,15.45,15.55,15.1,15.15,0.0,475
2020-07-08,8064,524126,7961357,15.15,15.3,15.1,15.15,0.0,229
2020-07-09,8064,769037,11593100,15.25,15.3,14.95,15.0,-0.15,329
2020-07-10,8064,641005,9577270,15.15,15.3,14.8,14.8,-0.2,309
2020-07-13,8064,372001,5506314,14.9,14.9,14.7,14.8,0.0,213
2020-07-14,8064,362993,5421045,14.95,15.15,14.85,14.85,0.05,180
2020-07-15,8064,389104,5774186,14.9,14.9,14.7,14.7,-0.15,177
2020-07-16,8064,241002,3546328,14.9,14.9,14.65,14.7,0.0,122
2020-07-17,8064,364202,5351787,14.9,14.95,14.55,14.55,-0.15,196
2020-07-20,8064,394103,5670337,14.55,14.55,14.3,14.45,-0.1,179
2020-07-21,8064,304276,4405223,14.6,14.7,14.4,14.45,0.0,142
2020-07-22,8064,488094,7191944,14.5,14.9,14.5,14.85,0.4,210
2020-07-23,8064,1379607,20837746,14.7,15.45,14.7,15.45,0.6,527
2020-07-24,8064,2345500,35749250,15.25,15.5,14.9,14.9,-0.55,902
2020-07-27,8064,433466,6376752,14.8,15.0,14.6,14.6,-0.3,207
2020-07-28,8064,510070,7335436,14.8,14.8,14.0,14.1,-0.5,255
2020-07-29,8064,139808,1993692,14.1,14.4,14.1,14.2,0.1,89
2020-07-30,8064,201521,2916752,14.4,14.6,14.25,14.6,0.4,127
2020-07-31,8064,177730,2599480,14.6,14.7,14.45,14.7,0.1,77
2020-08-03,8064,147368,2159467,14.75,14.8,14.55,14.6,-0.1,98
2020-08-04,8064,341105,4980583,14.7,14.75,14.5,14.6,0.0,171
2020-08-05,8064,268000,3908200,14.55,14.65,14.5,14.6,0.0,110
2020-08-06,8064,673110,10031283,14.75,15.05,14.75,14.85,0.25,305
2020-08-07,8064,207093,3058660,14.85,14.9,14.7,14.7,-0.15,103
2020-08-10,8064,270358,3922371,14.7,14.7,14.45,14.45,-0.25,164
2020-08-11,8064,466665,6631258,14.45,14.45,14.1,14.15,-0.3,221
2020-08-12,8064,204002,2880878,14.15,14.2,14.05,14.15,0.0,96
2020-08-13,8064,266922,3797749,14.15,14.45,14.15,14.15,0.0,144
2020-08-14,8064,395100,5556864,14.15,14.15,14.0,14.1,-0.05,174
2020-08-17,8064,1285407,18272327,14.05,14.35,14.0,14.1,0.0,346
2020-08-18,8064,254624,3589117,14.1,14.25,14.05,14.05,-0.05,135
2020-08-19,8064,331020,4626577,14.1,14.2,13.85,13.9,-0.15,212
2020-08-20,8064,490515,6633025,13.9,13.9,13.4,13.45,-0.45,236
2020-08-21,8064,227885,3096690,13.45,13.65,13.45,13.65,0.2,103
2020-08-24,8064,244114,3306036,13.6,13.75,13.45,13.45,-0.2,134
2020-08-25,8064,221101,2993173,13.55,13.6,13.45,13.6,0.15,101
2020-08-26,8064,262001,3556113,13.65,13.7,13.45,13.45,-0.15,133
2020-08-27,8064,370440,5034820,13.6,13.7,13.5,13.7,0.25,184
2020-08-28,8064,141001,1937063,13.7,13.9,13.7,13.7,0.0,69
2020-08-31,8064,154603,2126658,13.7,13.85,13.7,13.75,0.05,96
2020-09-01,8064,193518,2670473,13.75,13.9,13.7,13.75,0.0,90
2020-09-02,8064,184111,2538025,13.75,13.85,13.75,13.75,0.0,91
2020-09-03,8064,431214,6042267,13.8,14.15,13.8,14.1,0.35,230
2020-09-04,8064,1251301,17576833,13.8,14.4,13.6,14.3,0.2,409
2020-09-07,8064,464180,6560170,14.25,14.35,13.95,13.95,-0.35,214
2020-09-08,8064,198372,2769008,14.1,14.1,13.85,13.9,-0.05,99
2020-09-09,8064,247793,3442140,14.15,14.15,13.8,13.85,-0.05,130
2020-09-10,8064,295868,4092387,13.9,13.9,13.8,13.8,-0.05,140
2020-09-11,8064,547002,7408576,13.8,13.8,13.4,13.5,-0.3,263
2020-09-14,8064,163267,2236732,13.65,13.8,13.6,13.8,0.3,94
2020-09-15,8064,170145,2352647,13.8,13.9,13.7,13.75,-0.05,93
2020-09-16,8064,140061,1916632,13.75,13.75,13.6,13.65,-0.1,79
2020-09-17,8064,45691,625589,13.8,13.8,13.65,13.65,0.0,27
2020-09-18,8064,1678587,23388168,13.8,14.15,13.65,13.9,0.25,543
2020-09-21,8064,182078,2531425,13.9,14.05,13.8,13.95,0.05,91
2020-09-22,8064,212002,2894526,13.8,13.8,13.5,13.65,-0.3,120
2020-09-23,8064,149000,2033800,13.75,13.8,13.55,13.55,-0.1,97
2020-09-24,8064,407104,5457647,13.5,13.7,13.3,13.45,-0.1,209
2020-09-25,8064,274231,3686671,13.5,13.75,13.3,13.35,-0.1,125
2020-09-28,8064,106001,1425513,13.65,13.65,13.4,13.4,0.05,59
2020-09-29,8064,151114,2024026,13.45,13.45,13.35,13.4,0.0,58
2020-09-30,8064,158593,2138195,13.5,13.55,13.4,13.5,0.1,86
2020-10-05,8064,118080,1579266,13.5,13.5,13.3,13.35,-0.15,63
2020-10-06,8064,123463,1663671,13.4,13.55,13.4,13.5,0.15,78
2020-10-07,8064,181103,2431289,13.5,13.55,13.35,13.4,-0.1,92
2020-10-08,8064,175014,2349586,13.5,13.5,13.35,13.4,0.0,101
2020-10-12,8064,392004,5213052,13.55,13.55,13.15,13.2,-0.2,167
2020-10-13,8064,122926,1634225,13.2,13.4,13.15,13.25,0.05,79
2020-10-14,8064,148184,1985315,13.4,13.45,13.3,13.4,0.15,89
2020-10-15,8064,672281,9226475,13.45,13.85,13.45,13.85,0.45,432
2020-10-16,8064,522051,7271198,14.0,14.1,13.7,13.7,-0.15,247
2020-10-19,8064,136465,1858268,13.7,13.75,13.55,13.6,-0.1,81
2020-10-20,8064,139005,1875215,13.5,13.6,13.4,13.45,-0.15,93
2020-10-21,8064,108185,1455137,13.5,13.55,13.4,13.4,-0.05,61
2020-10-22,8064,84004,1125453,13.45,13.45,13.35,13.45,0.05,48
2020-10-23,8064,188340,2555787,13.6,13.7,13.5,13.6,0.15,113
2020-10-26,8064,110001,1498063,13.6,13.7,13.55,13.55,-0.05,73
2020-10-27,8064,132001,1775363,13.4,13.5,13.4,13.45,-0.1,58
2020-10-28,8064,102368,1374987,13.55,13.55,13.35,13.4,-0.05,68
2020-10-29,8064,214267,2845324,13.3,13.4,13.2,13.25,-0.15,123
2020-10-30,8064,135002,1785629,13.3,13.3,13.2,13.25,0.0,75
2020-11-02,8064,185086,2428973,13.2,13.2,13.05,13.1,-0.15,116
2020-11-03,8064,55179,730062,13.15,13.3,13.15,13.3,0.2,41
2020-11-04,8064,100350,1334737,13.35,13.45,13.25,13.25,-0.05,57
2020-11-05,8064,119004,1567802,13.25,13.25,13.15,13.15,-0.1,88
2020-11-06,8064,205794,2711211,13.15,13.25,13.15,13.15,0.0,91
2020-11-09,8064,125148,1654505,13.2,13.3,13.15,13.15,0.0,76
2020-11-10,8064,96004,1274802,13.25,13.35,13.25,13.3,0.15,44
2020-11-11,8064,159432,2117562,13.3,13.3,13.25,13.3,0.0,100
2020-11-12,8064,161128,2148396,13.25,13.5,13.25,13.25,-0.05,89
2020-11-13,8064,162435,2142951,13.25,13.25,13.15,13.2,-0.05,81
2020-11-16,8064,136954,1808296,13.2,13.3,13.15,13.2,0.0,89
2020-11-17,8064,165433,2179472,13.3,13.3,13.15,13.15,-0.05,76
2020-11-18,8064,162311,2140527,13.15,13.25,13.15,13.2,0.05,102
2020-11-19,8064,222812,2952683,13.15,13.3,13.15,13.3,0.1,113
2020-11-20,8064,406852,5376295,13.3,13.3,13.15,13.2,-0.1,151
2020-11-23,8064,288162,3817292,13.25,13.3,13.2,13.25,0.05,129
2020-11-24,8064,1409940,19298226,13.3,14.0,13.25,14.0,0.75,616
2020-11-25,8064,5513955,78209011,14.0,14.4,13.75,14.05,0.05,1709
2020-11-26,8064,466306,6532600,14.0,14.1,13.95,14.0,-0.05,245
2020-11-27,8064,303541,4263674,14.0,14.1,14.0,14.1,0.1,160
2020-11-30,8064,497200,6980407,14.2,14.25,13.95,14.0,-0.1,230
2020-12-01,8064,438094,6096196,14.05,14.05,13.85,13.9,-0.1,208
2020-12-02,8064,354209,4950164,14.0,14.1,13.9,13.95,0.05,190
2020-12-03,8064,792145,11159123,14.0,14.2,13.95,14.0,0.05,273
2020-12-04,8064,449481,6305153,14.05,14.1,13.95,14.0,0.0,216
2020-12-07,8064,1397420,19813211,14.1,14.4,14.0,14.4,0.4,575
2020-12-08,8064,5869386,87467712,14.45,15.4,14.25,15.25,0.85,2391
2020-12-09,8064,1680326,25099945,15.1,15.15,14.8,15.0,-0.25,728
2020-12-10,8064,682383,10094882,15.0,15.0,14.6,14.7,-0.3,343
2020-12-11,8064,588287,8568775,14.6,14.85,14.4,14.45,-0.25,298
2020-12-14,8064,1350561,20158728,14.7,15.05,14.6,14.85,0.4,646
2020-12-15,8064,791009,11811031,14.85,15.25,14.7,14.75,-0.1,347
2020-12-16,8064,794124,11872533,14.8,15.1,14.8,14.85,0.1,319
2020-12-17,8064,302881,4503695,14.8,15.0,14.8,14.8,-0.05,172
2020-12-18,8064,538014,7913853,14.85,14.9,14.6,14.75,-0.05,265
2020-12-21,8064,433409,6432271,14.75,15.0,14.7,14.8,0.05,236
2020-12-22,8064,1854866,27776098,14.85,15.15,14.65,14.65,-0.15,707
